Invoice ID,Branch,City,Customer type,Customer_name,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Male,Female
652-85-8254,A,Mumbai,Member,Jai Kapoor,Male,Food and beverages,81.25,8,32.5,682.5,2020-08-03,19:01:25,Credit Card,650,4.761904762,32.5,4.6,Rohit Patel,Nandini Patel
332-85-7330,D,Nashik,Member,Pari Chauhan,Female,Books,55.93,3,8.3895,176.1795,2016-09-04,23:58:36,Ewallet,167.79,4.761904762,8.3895,9,Naveen Sharma,Nitya Yadav
127-51-2418,D,Pune,Normal,Sanika Verma,Female,Food and beverages,34.69,2,3.469,72.849,2015-04-03,13:36:38,Credit Card,69.38,4.761904762,3.469,6.9,Ayush Sharma,Sanya Verma
738-49-3601,A,Kochi,Member,Divya Chauhan,Female,Sports and travel,56.67,2,5.667,119.007,2018-12-25,07:33:44,Ewallet,113.34,4.761904762,5.667,2.2,Jagdish Yadav,Diya Yadav
395-86-8604,B,Jaipur,Normal,Bhavna Sharma,Female,Food and beverages,60.97,4,12.194,256.074,2016-07-31,09:34:18,Walmart Gift Cards,243.88,4.761904762,12.194,8.2,Lalit Yadav,Zaina Chauhan
605-25-6829,B,Bangalore,Normal,Saanvi Kumar,Female,Food and beverages,53.4,5,13.35,280.35,2016-08-15,16:09:37,Walmart Gift Cards,267,4.761904762,13.35,2.3,Keshav Sharma,Oorja Gupta
910-10-6893,B,Bhopal,Normal,Parina Patel,Female,Home and lifestyle,86.27,5,21.5675,452.9175,2017-08-11,10:13:05,Credit Card,431.35,4.761904762,21.5675,3,Omkar Chauhan,Meher Sharma
401-44-1855,A,Ahmedabad,Normal,Riddhi Verma,Female,Health and beauty,58.87,4,11.774,247.254,2020-12-27,06:58:50,Walmart Gift Cards,235.48,4.761904762,11.774,4.8,Yash Patel,Riddhi Verma
250-98-6096,D,Bangalore,Member,Ujjwal Gupta,Male,Home and lifestyle,47.13,1,2.3565,49.4865,2022-06-07,07:28:05,Walmart Gift Cards,47.13,4.761904762,2.3565,2.5,Naman Verma,Mahira Verma
306-04-2724,E,Vishakhapatnam,Normal,Vanya Gupta,Female,Sports and travel,11.06,9,4.977,104.517,2022-02-08,02:05:56,Ewallet,99.54,4.761904762,4.977,9.9,Naman Verma,Hema Sahu
745-52-3952,C,Lucknow,Normal,Mahira Verma,Female,Clothing,91.35,5,22.8375,479.5875,2023-01-29,08:06:52,Cash,456.75,4.761904762,22.8375,2.5,Ayush Sharma,Ira Kumar
751-04-3932,E,Vadodara,Member,Faisal Khan,Male,Health and beauty,55.7,1,2.785,58.485,2018-03-18,08:40:39,Cash,55.7,4.761904762,2.785,4.7,Pratik Chauhan,Ginni Gupta
677-63-2267,E,New Delhi,Member,Rahul Sharma,Male,Home and lifestyle,85.77,6,25.731,540.351,2022-01-31,04:57:11,Cash,514.62,4.761904762,25.731,6.4,Nitin Singh,Jhanvi Mehta
335-85-4090,A,Nashik,Normal,Harshit Patel,Male,Books,27.85,1,1.3925,29.2425,2017-03-11,13:42:10,Walmart Gift Cards,27.85,4.761904762,1.3925,3.8,Harsh Joshi,Urvi Khan
980-32-9163,D,Nagpur,Normal,Devanshi Tiwari,Female,Sports and travel,79.53,2,7.953,167.013,2017-07-29,11:38:25,Ewallet,159.06,4.761904762,7.953,6.7,Vikrant Tiwari,Sanya Verma
741-56-9925,A,Ahmedabad,Normal,Sunil Verma,Male,Food and beverages,12.62,8,5.048,106.008,2016-08-13,12:21:51,Ewallet,100.96,4.761904762,5.048,5.9,Pratik Chauhan,Oorja Gupta
447-42-0071,E,Bangalore,Member,Charvi Verma,Female,Clothing,80.45,10,40.225,844.725,2019-12-01,18:58:10,Walmart Gift Cards,804.5,4.761904762,40.225,7.2,Nitin Singh,Lavina Yadav
475-93-6983,A,Kolkata,Normal,Anushka Yadav,Female,Health and beauty,25.41,8,10.164,213.444,2017-05-26,09:49:24,Ewallet,203.28,4.761904762,10.164,2,Eklavya Verma,Ujala Kapoor
774-00-6509,E,Surat,Normal,Tejas Joshi,Male,Clothing,87.99,5,21.9975,461.9475,2023-07-11,17:33:00,Credit Card,439.95,4.761904762,21.9975,7.7,Gaurav Tiwari,Saisha Khan
742-01-8662,C,Kolkata,Member,Meher Sharma,Female,Electronic accessories,23.96,9,10.782,226.422,2017-05-09,23:07:30,Walmart Gift Cards,215.64,4.761904762,10.782,6.5,Hrishikesh Kapoor,Nandini Patel
451-21-2450,A,Nashik,Member,Arnav Patel,Male,Home and lifestyle,38.68,5,9.67,203.07,2023-01-27,01:39:49,Walmart Gift Cards,193.4,4.761904762,9.67,1.4,Aarav Kumar,Hina Gupta
342-84-0091,A,Ahmedabad,Member,Chhavi Chauhan,Female,Home and lifestyle,46.21,8,18.484,388.164,2016-08-28,08:34:33,Walmart Gift Cards,369.68,4.761904762,18.484,6.4,Imran Khan,Divya Chauhan
156-28-4406,E,Ahmedabad,Member,Lokesh Tiwari,Male,Home and lifestyle,85.26,3,12.789,268.569,2018-03-17,01:12:36,Credit Card,255.78,4.761904762,12.789,3.1,Aryan Gupta,Ujala Kapoor
754-09-7145,C,Lucknow,Normal,Qamar Yadav,Female,Food and beverages,58.21,7,20.3735,427.8435,2018-06-28,20:04:50,Walmart Gift Cards,407.47,4.761904762,20.3735,8.1,Pratik Chauhan,Zaina Chauhan
707-71-4811,E,Bangalore,Member,Jatin Chauhan,Male,Electronic accessories,67.16,7,23.506,493.626,2019-03-06,10:53:18,Credit Card,470.12,4.761904762,23.506,6,Arnav Patel,Nandini Patel
331-18-0572,D,Indore,Member,Chhavi Chauhan,Female,Books,95.22,6,28.566,599.886,2022-11-04,22:40:02,Ewallet,571.32,4.761904762,28.566,2.9,Jatin Chauhan,Elina Chauhan
992-05-8352,E,Pune,Member,Farah Joshi,Female,Electronic accessories,68.68,6,20.604,432.684,2015-02-08,03:41:44,Ewallet,412.08,4.761904762,20.604,2.4,Umar Khan,Kanika Singh
574-34-4672,E,Surat,Member,Omkar Joshi,Male,Home and lifestyle,52.4,3,7.86,165.06,2016-04-29,04:28:24,Credit Card,157.2,4.761904762,7.86,4.7,Mukesh Kumar,Leela Yadav
818-27-0017,A,Bangalore,Member,Eshaan Kapoor,Female,Food and beverages,79.15,1,3.9575,83.1075,2020-07-15,06:58:36,Ewallet,79.15,4.761904762,3.9575,6.5,Imran Khan,Parina Patel
386-24-3685,B,Indore,Member,Kunal Gupta,Male,Health and beauty,59.94,2,5.994,125.874,2017-09-21,06:35:05,Walmart Gift Cards,119.88,4.761904762,5.994,2.2,Qureshi Khan,Qamar Yadav
653-11-9127,D,Hyderabad,Normal,Jigyasa Verma,Female,Clothing,21.12,3,3.168,66.528,2018-08-09,22:57:58,Walmart Gift Cards,63.36,4.761904762,3.168,7.1,Pranav Rajput,Nandini Patel
893-97-1937,B,Mumbai,Normal,Farah Joshi,Female,Food and beverages,33.71,5,8.4275,176.9775,2017-05-22,04:46:48,Credit Card,168.55,4.761904762,8.4275,2.1,Uday Sahu,Anika Patel
131-76-3011,A,Kolkata,Normal,Mukesh Kumar,Male,Books,65.55,1,3.2775,68.8275,2019-10-31,11:17:55,Cash,65.55,4.761904762,3.2775,4.8,Zahir Khan,Chandni Joshi
218-19-9010,D,Lucknow,Normal,Akash Sharma,Male,Sports and travel,69.83,3,10.4745,219.9645,2019-09-16,22:55:24,Cash,209.49,4.761904762,10.4745,9.8,Rohit Patel,Kashvi Rajput
797-94-7578,B,Nashik,Member,Farah Joshi,Female,Sports and travel,94.51,3,14.1765,297.7065,2017-09-01,03:24:20,Ewallet,283.53,4.761904762,14.1765,3.6,Ishaan Kumar,Yuvika Patel
495-31-6983,D,Surat,Normal,Ujala Kapoor,Female,Food and beverages,27.29,6,8.187,171.927,2017-04-26,03:45:22,Walmart Gift Cards,163.74,4.761904762,8.187,4.9,Yuvraj Yadav,Chhavi Chauhan
293-40-4746,D,Hyderabad,Member,Ria Singh,Female,Home and lifestyle,28.94,10,14.47,303.87,2021-12-30,05:06:36,Ewallet,289.4,4.761904762,14.47,8.7,Raghav Patel,Eesha Verma
355-36-0403,C,Pune,Normal,Charvi Verma,Female,Health and beauty,33.49,2,3.349,70.329,2022-07-19,09:19:42,Cash,66.98,4.761904762,3.349,8.2,Gaurav Tiwari,Lavisha Kapoor
403-51-1527,D,New Delhi,Member,Nandini Patel,Female,Sports and travel,13.39,10,6.695,140.595,2019-07-28,14:53:04,Cash,133.9,4.761904762,6.695,7.1,Tarun Kumar,Ria Singh
134-77-6926,B,Ahmedabad,Member,Lavina Yadav,Female,Electronic accessories,76.37,3,11.4555,240.5655,2022-07-25,11:22:20,Walmart Gift Cards,229.11,4.761904762,11.4555,7,Sunil Verma,Hema Sahu
951-65-4323,A,Bangalore,Normal,Bhuvan Chauhan,Male,Clothing,46.43,6,13.929,292.509,2021-09-25,23:56:07,Ewallet,278.58,4.761904762,13.929,6.3,Gopal Tiwari,Ishana Sharma
935-18-6924,B,Kolkata,Member,Farhan Khan,Male,Health and beauty,51.54,6,15.462,324.702,2023-02-07,21:26:02,Credit Card,309.24,4.761904762,15.462,1.3,Imran Khan,Tithira Kapoor
676-30-2327,B,Kochi,Normal,Yogesh Mehta,Male,Food and beverages,11.64,10,5.82,122.22,2015-10-28,03:07:36,Walmart Gift Cards,116.4,4.761904762,5.82,8.6,Varun Singh,Saisha Khan
798-65-6687,C,Bangalore,Normal,Sunil Verma,Male,Food and beverages,44.44,9,19.998,419.958,2017-03-22,02:24:29,Cash,399.96,4.761904762,19.998,1.2,Farhan Khan,Chhavi Chauhan
488-65-0701,C,Agra,Member,Ujala Kapoor,Female,Electronic accessories,12.75,4,2.55,53.55,2019-07-31,21:13:59,Ewallet,51,4.761904762,2.55,9.3,Pratik Chauhan,Risha Joshi
648-61-5885,E,Hyderabad,Member,Tarun Kumar,Male,Electronic accessories,53.45,9,24.0525,505.1025,2016-04-27,00:53:03,Cash,481.05,4.761904762,24.0525,1.3,Ravi Patel,Rithika Joshi
993-77-3361,B,Indore,Normal,Govind Tiwari,Male,Food and beverages,39.52,1,1.976,41.496,2015-11-03,13:30:44,Ewallet,39.52,4.761904762,1.976,8.1,Vicky Singh,Naina Rajput
180-58-2549,B,Pune,Member,Abhishek Yadav,Male,Health and beauty,49.52,4,9.904,207.984,2021-03-28,16:01:30,Cash,198.08,4.761904762,9.904,5.6,Om Prakash Sharma,Zara Tiwari
221-26-4049,E,Nagpur,Normal,Kaushal Yadav,Male,Health and beauty,10.02,8,4.008,84.168,2020-12-25,03:19:01,Walmart Gift Cards,80.16,4.761904762,4.008,2.2,Omkar Joshi,Jhanvi Mehta
985-83-9170,C,New Delhi,Member,Zaina Chauhan,Female,Home and lifestyle,39.3,1,1.965,41.265,2021-10-24,02:55:48,Walmart Gift Cards,39.3,4.761904762,1.965,2.3,Karan Joshi,Ira Kumar
391-89-4107,B,Indore,Member,Kashvi Rajput,Female,Books,26.21,3,3.9315,82.5615,2015-08-30,20:35:07,Ewallet,78.63,4.761904762,3.9315,3.9,Tushar Sahu,Gargi Kapoor
556-96-0850,E,Pune,Normal,Chandni Joshi,Female,Food and beverages,87.48,2,8.748,183.708,2022-02-07,00:56:32,Ewallet,174.96,4.761904762,8.748,9.4,Faizan Khan,Charul Yadav
392-24-0223,C,Chennai,Member,Faizan Khan,Male,Food and beverages,13.92,5,3.48,73.08,2018-03-26,03:30:45,Credit Card,69.6,4.761904762,3.48,4.6,Zahir Khan,Chetana Sahu
179-77-8197,A,Vadodara,Member,Hema Sahu,Female,Books,21.1,4,4.22,88.62,2022-10-27,23:17:36,Credit Card,84.4,4.761904762,4.22,3,Faisal Khan,Bhavika Kapoor
619-70-9162,E,Nashik,Normal,Myra Patel,Female,Sports and travel,54.92,5,13.73,288.33,2015-04-09,11:23:16,Ewallet,274.6,4.761904762,13.73,7.9,Chirag Kapoor,Aashi Mehta
530-41-8884,B,Bhopal,Normal,Yuvika Patel,Female,Health and beauty,94.72,5,23.68,497.28,2020-04-09,07:53:31,Ewallet,473.6,4.761904762,23.68,1.1,Naman Verma,Zara Tiwari
933-89-9528,E,Indore,Member,Chetan Kumar,Male,Food and beverages,59.53,2,5.953,125.013,2016-04-03,03:15:59,Credit Card,119.06,4.761904762,5.953,8.9,Lalit Yadav,Aanya Sharma
707-28-2616,A,Ahmedabad,Normal,Diya Yadav,Female,Home and lifestyle,63.68,9,28.656,601.776,2017-11-26,00:54:21,Credit Card,573.12,4.761904762,28.656,3.5,Kunal Gupta,Nandini Patel
127-59-2144,A,Nagpur,Member,Uday Sahu,Male,Clothing,74.1,4,14.82,311.22,2022-08-13,12:21:53,Walmart Gift Cards,296.4,4.761904762,14.82,8.6,Rohit Patel,Lavisha Kapoor
870-24-7180,E,Mumbai,Member,Riddhi Verma,Female,Clothing,20.59,2,2.059,43.239,2017-09-25,00:50:42,Cash,41.18,4.761904762,2.059,1.9,Umar Khan,Parina Patel
240-46-4940,C,Bangalore,Normal,Bhavna Sharma,Female,Health and beauty,51.41,9,23.1345,485.8245,2023-09-16,01:24:48,Cash,462.69,4.761904762,23.1345,2.2,Keshav Sharma,Nandini Patel
887-47-2234,C,Surat,Member,Aashi Mehta,Female,Home and lifestyle,52.48,1,2.624,55.104,2020-04-30,09:49:01,Cash,52.48,4.761904762,2.624,3.5,Farhan Khan,Prisha Khan
542-31-0420,D,Ahmedabad,Member,Anika Patel,Female,Sports and travel,88.22,1,4.411,92.631,2015-08-03,12:57:20,Cash,88.22,4.761904762,4.411,6.7,Rohit Patel,Nandini Patel
303-56-9210,A,Kochi,Member,Lavina Yadav,Female,Food and beverages,86.13,7,30.1455,633.0555,2019-09-03,16:02:16,Credit Card,602.91,4.761904762,30.1455,3.9,Chirag Kapoor,Kanika Singh
229-33-2723,A,Bangalore,Normal,Arnav Patel,Male,Electronic accessories,33.78,1,1.689,35.469,2021-08-21,08:03:08,Credit Card,33.78,4.761904762,1.689,2.8,Brijesh Sharma,Kashvi Rajput
211-66-1341,A,Lucknow,Normal,Ayush Sharma,Male,Home and lifestyle,13.61,1,0.6805,14.2905,2023-02-13,09:59:46,Cash,13.61,4.761904762,0.6805,2.6,Dheeraj Yadav,Urvi Khan
309-06-7155,E,Jaipur,Member,Arnav Patel,Male,Clothing,45.94,4,9.188,192.948,2020-06-12,00:05:30,Walmart Gift Cards,183.76,4.761904762,9.188,3.1,Govind Tiwari,Aanya Sharma
301-29-7032,A,Surat,Normal,Lucky Singh,Male,Home and lifestyle,69.42,4,13.884,291.564,2021-07-22,03:09:05,Ewallet,277.68,4.761904762,13.884,4.9,Karan Joshi,Hetal Patel
206-46-1792,E,Surat,Member,Aashi Mehta,Female,Health and beauty,96.79,6,29.037,609.777,2019-03-03,20:28:49,Walmart Gift Cards,580.74,4.761904762,29.037,8.7,Mohan Patel,Anushka Yadav
849-94-9073,D,Lucknow,Member,Tarun Kumar,Male,Health and beauty,32.36,3,4.854,101.934,2021-07-27,10:55:35,Walmart Gift Cards,97.08,4.761904762,4.854,6.5,Karthik Kapoor,Megha Kapoor
648-36-3288,D,Vadodara,Normal,Gargi Kapoor,Female,Home and lifestyle,81.88,3,12.282,257.922,2015-03-26,00:42:14,Ewallet,245.64,4.761904762,12.282,6.5,Lucky Singh,Mahira Verma
458-88-7953,B,Lucknow,Normal,Tarun Kumar,Male,Health and beauty,16.74,4,3.348,70.308,2021-11-29,04:02:01,Ewallet,66.96,4.761904762,3.348,8.1,Aditya Singh,Kashvi Rajput
776-54-6769,C,Vadodara,Normal,Urvi Khan,Female,Books,33.7,4,6.74,141.54,2021-07-08,17:21:40,Cash,134.8,4.761904762,6.74,7.1,Ravi Patel,Urvi Khan
805-82-8649,E,Chandigarh,Normal,Aditi Singh,Female,Books,87.32,6,26.196,550.116,2015-05-06,01:49:34,Credit Card,523.92,4.761904762,26.196,7.5,Ishaan Kumar,Saanvi Kumar
583-82-2396,E,Indore,Member,Bhoomi Tiwari,Female,Books,70.54,1,3.527,74.067,2015-09-18,21:56:56,Credit Card,70.54,4.761904762,3.527,4.8,Kunal Gupta,Aditi Singh
993-49-9428,A,Pune,Member,Jai Kapoor,Male,Food and beverages,95.68,3,14.352,301.392,2019-09-02,09:10:28,Credit Card,287.04,4.761904762,14.352,3.5,Bhuvan Chauhan,Gauri Singh
954-75-2236,B,Kolkata,Member,Urvi Khan,Female,Sports and travel,42.17,10,21.085,442.785,2015-06-25,19:48:41,Cash,421.7,4.761904762,21.085,1.4,Bhuvan Chauhan,Anushka Yadav
632-06-3744,B,Agra,Member,Falguni Mehta,Female,Books,31.05,10,15.525,326.025,2020-07-19,14:00:18,Ewallet,310.5,4.761904762,15.525,4.3,Gaurav Tiwari,Saisha Khan
446-04-7620,E,Chandigarh,Member,Ishaan Kumar,Male,Electronic accessories,87.29,9,39.2805,824.8905,2020-04-21,09:14:04,Cash,785.61,4.761904762,39.2805,5.4,Zain Khan,Falak Patel
266-34-6721,E,Chennai,Member,Yashi Kapoor,Female,Electronic accessories,38.53,2,3.853,80.913,2021-04-09,16:41:10,Cash,77.06,4.761904762,3.853,5,Vicky Singh,Meher Sharma
743-52-4881,A,New Delhi,Normal,Eshan Verma,Male,Food and beverages,50.16,9,22.572,474.012,2021-03-08,02:19:32,Credit Card,451.44,4.761904762,22.572,9.8,Deepak Verma,Lavina Yadav
878-59-8691,E,Nagpur,Normal,Charul Yadav,Female,Food and beverages,32.85,8,13.14,275.94,2022-08-10,04:18:08,Walmart Gift Cards,262.8,4.761904762,13.14,3.5,Arjun Patel,Qamar Yadav
447-13-0263,C,Ahmedabad,Member,Arjun Patel,Male,Health and beauty,82.14,3,12.321,258.741,2016-03-25,02:14:19,Ewallet,246.42,4.761904762,12.321,3.7,Yashvardhan Sharma,Ishita Mehta
991-89-9530,C,Lucknow,Member,Lavina Yadav,Female,Electronic accessories,43.99,3,6.5985,138.5685,2017-08-18,14:51:15,Ewallet,131.97,4.761904762,6.5985,9.9,Zain Khan,Ojasvi Tiwari
735-36-2741,B,Agra,Normal,Tanisha Patel,Female,Food and beverages,52.85,1,2.6425,55.4925,2019-08-28,20:26:37,Credit Card,52.85,4.761904762,2.6425,4,Akash Sharma,Gauri Singh
916-41-4372,D,Surat,Member,Vrinda Sharma,Female,Food and beverages,75.48,1,3.774,79.254,2015-06-22,03:43:14,Cash,75.48,4.761904762,3.774,8.8,Lokesh Tiwari,Fatima Joshi
450-60-5641,D,Kochi,Member,Zain Khan,Male,Clothing,96.17,2,9.617,201.957,2020-10-10,06:59:35,Walmart Gift Cards,192.34,4.761904762,9.617,3.4,Keshav Sharma,Lavisha Kapoor
114-01-1013,E,Bangalore,Member,Kunal Gupta,Male,Electronic accessories,71.11,5,17.7775,373.3275,2018-08-24,09:22:27,Ewallet,355.55,4.761904762,17.7775,6.6,Jatin Chauhan,Aanya Sharma
790-40-9466,D,Ahmedabad,Normal,Raghav Patel,Male,Sports and travel,73,9,32.85,689.85,2016-03-10,03:49:35,Walmart Gift Cards,657,4.761904762,32.85,4.8,Deepak Verma,Bhoomi Tiwari
870-01-1331,B,Agra,Member,Eshan Verma,Male,Health and beauty,45.77,6,13.731,288.351,2018-06-25,18:18:42,Cash,274.62,4.761904762,13.731,8.6,Brijesh Sharma,Kashvi Rajput
632-45-2557,B,Chennai,Normal,Ujala Kapoor,Female,Sports and travel,79.56,6,23.868,501.228,2021-05-12,21:42:17,Cash,477.36,4.761904762,23.868,3.7,Prakash Sahu,Qiana Tiwari
713-15-4602,B,Mumbai,Member,Eklavya Verma,Male,Sports and travel,91.57,5,22.8925,480.7425,2022-03-15,20:11:45,Credit Card,457.85,4.761904762,22.8925,8.8,Nitin Singh,Ginni Gupta
116-35-4712,A,Nagpur,Member,Urvashi Joshi,Female,Electronic accessories,40.82,6,12.246,257.166,2019-12-17,10:52:26,Credit Card,244.92,4.761904762,12.246,3,Kaushal Yadav,Hema Sahu
295-59-5623,B,Ahmedabad,Normal,Gauri Singh,Female,Electronic accessories,38.54,7,13.489,283.269,2022-01-29,04:02:37,Ewallet,269.78,4.761904762,13.489,6.4,Ujjwal Gupta,Eshaan Kapoor
940-15-8324,C,Chennai,Member,Qiana Tiwari,Female,Electronic accessories,72.53,4,14.506,304.626,2019-05-03,11:22:13,Walmart Gift Cards,290.12,4.761904762,14.506,9.4,Lucky Singh,Gargi Kapoor
458-65-1075,D,Kochi,Normal,Meher Sharma,Female,Electronic accessories,85.89,9,38.6505,811.6605,2019-07-15,20:27:20,Cash,773.01,4.761904762,38.6505,6.8,Omkar Joshi,Farah Joshi
147-35-9871,C,Kochi,Member,Lavina Yadav,Female,Electronic accessories,13.62,3,2.043,42.903,2020-09-18,02:17:05,Walmart Gift Cards,40.86,4.761904762,2.043,4.1,Aditya Singh,Diya Yadav
662-06-2811,B,Lucknow,Normal,Keshav Sharma,Male,Sports and travel,94.22,1,4.711,98.931,2016-10-20,07:48:09,Cash,94.22,4.761904762,4.711,7.1,Jatin Chauhan,Oorja Gupta
108-92-2482,E,Nagpur,Normal,Bhavika Kapoor,Female,Sports and travel,77.6,2,7.76,162.96,2023-02-26,13:20:39,Cash,155.2,4.761904762,7.76,5.6,Dinesh Yadav,Ginni Gupta
435-10-0429,E,Mumbai,Member,Kunal Gupta,Male,Health and beauty,44.28,7,15.498,325.458,2016-04-29,09:16:02,Walmart Gift Cards,309.96,4.761904762,15.498,2.2,Parth Kapoor,Vanshika Gupta
478-59-1975,D,Hyderabad,Normal,Ujala Kapoor,Female,Home and lifestyle,77.61,6,23.283,488.943,2016-08-10,13:55:45,Walmart Gift Cards,465.66,4.761904762,23.283,1,Javed Khan,Charvi Verma
527-52-0059,E,Ahmedabad,Normal,Gopal Tiwari,Male,Food and beverages,73.17,5,18.2925,384.1425,2021-02-05,16:52:50,Credit Card,365.85,4.761904762,18.2925,1.7,Raghav Patel,Fatima Joshi
686-74-7557,B,Jaipur,Normal,Omkar Joshi,Male,Food and beverages,51.93,2,5.193,109.053,2018-08-29,04:53:54,Credit Card,103.86,4.761904762,5.193,8.1,Abhishek Yadav,Jhanvi Mehta
453-18-9890,E,Agra,Member,Sanika Verma,Female,Books,35.41,4,7.082,148.722,2020-03-06,09:13:16,Cash,141.64,4.761904762,7.082,9.5,Utkarsh Yadav,Falguni Mehta
863-43-6596,D,Nashik,Member,Yuvika Patel,Female,Clothing,55.96,6,16.788,352.548,2018-05-15,10:09:57,Credit Card,335.76,4.761904762,16.788,9.1,Brijesh Sharma,Megha Kapoor
855-35-5699,C,New Delhi,Member,Aanya Sharma,Female,Books,44.19,1,2.2095,46.3995,2018-01-23,13:12:28,Credit Card,44.19,4.761904762,2.2095,6.3,Ayush Sharma,Riddhi Verma
853-46-6568,B,Surat,Member,Fatima Joshi,Female,Sports and travel,33.99,5,8.4975,178.4475,2019-08-26,02:25:07,Cash,169.95,4.761904762,8.4975,1.4,Ishan Verma,Tanya Rajput
101-63-1717,D,Jaipur,Normal,Yuvraj Yadav,Male,Health and beauty,64.77,8,25.908,544.068,2018-12-16,06:13:13,Cash,518.16,4.761904762,25.908,1.4,Arnav Patel,Jia Kapoor
621-57-3922,B,Pune,Member,Kunal Gupta,Male,Health and beauty,77.88,1,3.894,81.774,2021-02-21,13:12:31,Ewallet,77.88,4.761904762,3.894,2.3,Rajveer Gupta,Bhavya Tiwari
680-76-0049,C,Nashik,Member,Dheeraj Yadav,Male,Books,59.94,10,29.97,629.37,2019-09-04,18:17:05,Cash,599.4,4.761904762,29.97,4.6,Ishaan Kumar,Jigyasa Verma
292-68-2307,E,Mumbai,Member,Ishaani Sahu,Female,Electronic accessories,17.28,5,4.32,90.72,2018-11-22,18:15:31,Credit Card,86.4,4.761904762,4.32,7.8,Lakshay Sharma,Saanvi Kumar
909-19-1437,B,Hyderabad,Member,Ekta Joshi,Female,Home and lifestyle,39.84,9,17.928,376.488,2016-01-08,07:51:18,Walmart Gift Cards,358.56,4.761904762,17.928,1.7,Manoj Sharma,Hina Gupta
