Invoice ID,Branch,City,Customer type,Customer_name,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,,Male,Female
431-98-7858,E,Bhopal,Member,Yuvika Patel,Female,Health and beauty,93.92,1,4.696,98.616,2023-11-23,16:52:47,Walmart Gift Cards,93.92,4.761904762,4.696,1.3,,Faizan Khan,Ishita Mehta
292-57-5562,E,Agra,Member,Ira Kumar,Female,Food and beverages,40.76,10,20.38,427.98,2015-06-22,21:02:02,Cash,407.6,4.761904762,20.38,6.1,,Keshav Sharma,Urvi Khan
971-04-1938,E,Indore,Member,Sanika Verma,Female,Health and beauty,32.33,8,12.932,271.572,2019-06-05,16:36:52,Credit Card,258.64,4.761904762,12.932,8.5,,Zain Khan,Anushka Yadav
438-71-0718,E,Bhopal,Member,Lucky Singh,Male,Books,54.22,2,5.422,113.862,2015-05-22,10:44:43,Credit Card,108.44,4.761904762,5.422,9.7,,Arjun Patel,Eshita Singh
537-59-1498,A,Bhopal,Member,Yash Patel,Male,Sports and travel,98.05,1,4.9025,102.9525,2021-06-25,18:24:30,Cash,98.05,4.761904762,4.9025,3,,Pradeep Chauhan,Zaina Tiwari
282-02-0259,B,Bangalore,Member,Chhavi Chauhan,Female,Sports and travel,29.42,1,1.471,30.891,2018-03-11,14:44:04,Credit Card,29.42,4.761904762,1.471,1.7,,Arjun Patel,Oorja Gupta
963-51-0197,A,Indore,Normal,Yashi Kapoor,Female,Health and beauty,37.24,4,7.448,156.408,2015-11-02,06:53:15,Walmart Gift Cards,148.96,4.761904762,7.448,3.2,,Farhan Khan,Kashvi Rajput
609-09-7134,A,Kochi,Normal,Omkar Joshi,Male,Electronic accessories,20.05,3,3.0075,63.1575,2020-04-21,05:19:55,Walmart Gift Cards,60.15,4.761904762,3.0075,8.6,,Karthik Kapoor,Pihu Gupta
363-90-8846,B,Agra,Member,Armaan Khan,Male,Sports and travel,71.15,5,17.7875,373.5375,2021-01-30,08:02:26,Ewallet,355.75,4.761904762,17.7875,4.8,,Farhan Khan,Falak Patel
943-25-2988,C,New Delhi,Normal,Yuvika Patel,Female,Clothing,39.01,6,11.703,245.763,2021-04-28,03:35:59,Cash,234.06,4.761904762,11.703,2.1,,Tanuj Mehta,Parina Patel
772-09-4182,B,Bhopal,Normal,Ishita Mehta,Female,Health and beauty,85.45,3,12.8175,269.1675,2017-02-05,05:33:17,Credit Card,256.35,4.761904762,12.8175,3.7,,Nishant Verma,Devanshi Tiwari
780-69-8199,E,Hyderabad,Member,Imran Khan,Male,Home and lifestyle,32.56,2,3.256,68.376,2021-11-25,13:23:14,Cash,65.12,4.761904762,3.256,8.6,,Siddharth Reddy,Urvashi Joshi
703-38-6799,A,Pune,Member,Neeraj Singh,Male,Home and lifestyle,64.8,9,29.16,612.36,2021-12-03,08:07:04,Credit Card,583.2,4.761904762,29.16,6.2,,Aarav Kumar,Prisha Khan
620-22-8156,C,New Delhi,Member,Qiana Tiwari,Female,Health and beauty,15.65,5,3.9125,82.1625,2021-05-14,01:43:01,Credit Card,78.25,4.761904762,3.9125,2.3,,Arjun Patel,Chhavi Chauhan
673-14-8564,D,Kolkata,Normal,Bhushan Sharma,Male,Books,36.95,7,12.9325,271.5825,2016-12-14,12:28:34,Walmart Gift Cards,258.65,4.761904762,12.9325,3.1,,Eklavya Verma,Gitanjali Sharma
696-25-9004,D,Kolkata,Member,Qiana Tiwari,Female,Clothing,61.86,10,30.93,649.53,2016-06-18,10:55:30,Ewallet,618.6,4.761904762,30.93,5.9,,Harshit Patel,Saisha Khan
349-83-0722,D,Nagpur,Member,Dinesh Yadav,Male,Food and beverages,68.59,5,17.1475,360.0975,2017-04-26,21:42:00,Cash,342.95,4.761904762,17.1475,2.6,,Parth Kapoor,Bhavna Sharma
125-89-1740,A,Kochi,Member,Hira Gupta,Female,Electronic accessories,41.14,7,14.399,302.379,2020-12-04,17:00:03,Cash,287.98,4.761904762,14.399,4.4,,Vicky Singh,Gitanjali Sharma
953-29-3823,E,Pune,Normal,Hina Gupta,Female,Books,12.95,2,1.295,27.195,2015-03-01,14:57:38,Credit Card,25.9,4.761904762,1.295,5,,Uday Sahu,Chetana Sahu
940-12-0466,B,Chandigarh,Member,Ananya Patel,Female,Home and lifestyle,99.58,1,4.979,104.559,2019-04-03,22:22:43,Cash,99.58,4.761904762,4.979,9.7,,Karan Joshi,Yuvika Patel
306-70-1571,D,Mumbai,Normal,Utkarsh Yadav,Male,Home and lifestyle,53.08,5,13.27,278.67,2020-05-13,12:01:20,Credit Card,265.4,4.761904762,13.27,7.3,,Manoj Sharma,Aditi Singh
873-37-1921,E,Mumbai,Member,Ishaan Kumar,Male,Clothing,46.57,9,20.9565,440.0865,2016-10-02,00:52:15,Ewallet,419.13,4.761904762,20.9565,4.4,,Pratik Chauhan,Nandini Patel
500-64-1248,C,Indore,Normal,Oviya Sharma,Female,Electronic accessories,66.97,7,23.4395,492.2295,2016-10-26,07:48:08,Cash,468.79,4.761904762,23.4395,6,,Ishaan Kumar,Megha Kapoor
371-86-7583,A,Bangalore,Member,Nupur Singh,Female,Home and lifestyle,54.94,6,16.482,346.122,2017-10-07,22:35:38,Ewallet,329.64,4.761904762,16.482,3.5,,Yashvardhan Sharma,Kavya Rajput
128-53-0427,D,Chandigarh,Normal,Nitin Singh,Male,Home and lifestyle,48.37,4,9.674,203.154,2023-10-19,10:18:50,Ewallet,193.48,4.761904762,9.674,2.2,,Neeraj Singh,Jia Kapoor
563-99-6233,C,Bangalore,Normal,Himanshu Kapoor,Male,Clothing,40.93,7,14.3255,300.8355,2018-11-20,11:10:31,Credit Card,286.51,4.761904762,14.3255,2.4,,Sagar Mehta,Parina Patel
339-64-6833,C,Indore,Normal,Bhavna Sharma,Female,Food and beverages,86.46,3,12.969,272.349,2021-07-12,23:05:45,Cash,259.38,4.761904762,12.969,3.8,,Karthik Kapoor,Myra Patel
430-69-7722,C,New Delhi,Member,Omkar Mehta,Male,Electronic accessories,99.82,1,4.991,104.811,2015-01-21,08:07:10,Credit Card,99.82,4.761904762,4.991,2.1,,Harshit Patel,Myra Patel
531-14-6128,A,Kolkata,Normal,Gagan Singh,Male,Food and beverages,17.52,8,7.008,147.168,2018-11-24,00:07:10,Walmart Gift Cards,140.16,4.761904762,7.008,6.4,,Karan Joshi,Aditi Singh
263-07-1413,A,Indore,Member,Bhavya Tiwari,Female,Health and beauty,24.38,8,9.752,204.792,2018-06-21,16:15:51,Ewallet,195.04,4.761904762,9.752,5.5,,Abhishek Yadav,Ishaani Sahu
353-15-1820,E,Pune,Member,Umar Khan,Male,Home and lifestyle,32.35,6,9.705,203.805,2018-04-09,19:54:56,Walmart Gift Cards,194.1,4.761904762,9.705,7.5,,Aryan Gupta,Tanisha Patel
891-88-4009,A,Indore,Normal,Myra Patel,Female,Home and lifestyle,71.59,8,28.636,601.356,2015-07-23,20:22:08,Walmart Gift Cards,572.72,4.761904762,28.636,1.9,,Ujjwal Gupta,Charvi Verma
335-41-6917,A,Indore,Member,Tanisha Patel,Female,Clothing,54.71,10,27.355,574.455,2023-07-25,02:20:06,Cash,547.1,4.761904762,27.355,2.5,,Rajveer Gupta,Eesha Verma
589-77-1698,C,Lucknow,Member,Nupur Singh,Female,Health and beauty,75.97,6,22.791,478.611,2016-09-28,13:07:31,Ewallet,455.82,4.761904762,22.791,6.5,,Yuvraj Yadav,Ananya Patel
203-23-3564,A,Nashik,Normal,Oishi Tiwari,Female,Health and beauty,23.99,7,8.3965,176.3265,2022-10-06,23:24:05,Walmart Gift Cards,167.93,4.761904762,8.3965,8.5,,Rohit Patel,Oviya Sharma
253-68-1722,B,Kochi,Member,Kanika Singh,Female,Health and beauty,57.37,3,8.6055,180.7155,2022-04-30,14:36:54,Cash,172.11,4.761904762,8.6055,3.3,,Faisal Khan,Saisha Khan
841-33-4804,E,Nagpur,Normal,Divya Chauhan,Female,Clothing,29.02,10,14.51,304.71,2018-09-13,14:01:17,Cash,290.2,4.761904762,14.51,9.2,,Omkar Mehta,Kashvi Rajput
671-01-6353,B,Bangalore,Normal,Nitin Singh,Male,Home and lifestyle,87.86,6,26.358,553.518,2018-01-11,20:16:52,Walmart Gift Cards,527.16,4.761904762,26.358,5.2,,Aniket Yadav,Nupur Singh
683-68-3090,B,Kolkata,Normal,Hema Sahu,Female,Electronic accessories,11.51,4,2.302,48.342,2019-08-04,03:00:25,Ewallet,46.04,4.761904762,2.302,8,,Brijesh Sharma,Farah Joshi
708-12-2812,A,Nagpur,Normal,Ginni Gupta,Female,Clothing,16.31,6,4.893,102.753,2020-12-12,18:55:28,Ewallet,97.86,4.761904762,4.893,1.7,,Lalit Yadav,Jigyasa Verma
664-52-6206,B,Mumbai,Normal,Fatima Joshi,Female,Food and beverages,56.26,1,2.813,59.073,2017-03-07,15:37:45,Cash,56.26,4.761904762,2.813,5.5,,Ravi Patel,Yashi Kapoor
860-87-7721,D,Chandigarh,Member,Neeraj Singh,Male,Food and beverages,33.96,2,3.396,71.316,2022-01-05,20:39:46,Cash,67.92,4.761904762,3.396,8.2,,Naveen Sharma,Farah Joshi
711-24-0379,C,Kochi,Member,Sanika Verma,Female,Home and lifestyle,28.13,9,12.6585,265.8285,2021-05-25,00:37:26,Ewallet,253.17,4.761904762,12.6585,4.2,,Himanshu Kapoor,Chandni Joshi
402-36-7142,C,Kochi,Member,Oorja Gupta,Female,Sports and travel,86.9,9,39.105,821.205,2016-04-24,00:03:02,Cash,782.1,4.761904762,39.105,1.6,,Kunal Gupta,Tanya Rajput
405-65-0613,B,Bangalore,Normal,Rithika Joshi,Female,Electronic accessories,22.64,5,5.66,118.86,2020-11-15,19:37:04,Walmart Gift Cards,113.2,4.761904762,5.66,5.9,,Hitesh Yadav,Pihu Gupta
306-84-6108,D,Nagpur,Member,Prisha Khan,Female,Food and beverages,18.86,4,3.772,79.212,2021-06-29,06:57:10,Walmart Gift Cards,75.44,4.761904762,3.772,8.9,,Dinesh Yadav,Lavanya Sharma
590-16-1620,C,Vadodara,Normal,Varun Singh,Male,Electronic accessories,50.5,6,15.15,318.15,2018-01-08,01:00:43,Walmart Gift Cards,303,4.761904762,15.15,3.7,,Bhuvan Chauhan,Riddhi Verma
128-62-5648,C,New Delhi,Member,Prakash Sahu,Male,Sports and travel,45.09,7,15.7815,331.4115,2023-07-04,16:56:13,Cash,315.63,4.761904762,15.7815,4.2,,Pratik Chauhan,Ishana Sharma
664-65-3329,D,Jaipur,Normal,Sanika Verma,Female,Health and beauty,46.28,6,13.884,291.564,2023-05-15,00:31:50,Walmart Gift Cards,277.68,4.761904762,13.884,9.6,,Mohan Patel,Hira Gupta
252-18-7777,D,Nagpur,Member,Karthik Kapoor,Male,Home and lifestyle,54.35,3,8.1525,171.2025,2018-11-29,17:54:36,Cash,163.05,4.761904762,8.1525,1.4,,Jai Kapoor,Hema Sahu
965-25-7356,D,Vadodara,Normal,Falak Patel,Female,Books,65.67,9,29.5515,620.5815,2015-07-10,11:25:06,Cash,591.03,4.761904762,29.5515,4.7,,Raghav Patel,Ginni Gupta
